epoch,train_loss,ce_loss,da_loss,source_acc,target_acc,target_f1,epoch_warmup
1,0.14204039643792546,0.14204039643792546,0.0,65.34926470588235,47.8345498783455,0.4511090086283109,False
2,0.07644800622673596,0.07644800622673596,0.0,80.74448529411765,31.386861313868614,0.32368456485393365,False
3,0.05628457227173973,0.05628457227173973,0.0,85.34007352941177,31.67883211678832,0.3305998381447579,False
4,0.031882153166567576,0.031882153166567576,0.0,91.26838235294117,23.357664233576642,0.1665598156971848,False
5,0.02213947379085071,0.02213947379085071,0.0,93.88786764705883,16.54501216545012,0.12781353438789447,False
6,0.019212386132601428,0.019212386132601428,0.0,93.47426470588235,15.231143552311435,0.08828068968296716,False
7,0.00988012897398542,0.00988012897398542,0.0,96.18566176470588,10.316301703163017,0.07064403548760236,False
8,0.009991575278999174,0.009991575278999174,0.0,97.24264705882354,10.024330900243308,0.08924445757886272,False
9,0.0067421848447445564,0.0067421848447445564,0.0,98.29963235294117,12.408759124087592,0.07238626970784912,False
10,0.00507261130191824,0.00507261130191824,0.0,98.25367647058823,9.975669099756692,0.055147547046117386,False
11,0.004958670083022512,0.004958670083022512,0.0,98.94301470588235,9.732360097323602,0.06482702681553992,False
12,0.00594449757344966,0.00594449757344966,0.0,98.7591911764706,13.576642335766424,0.11298347633665924,False
13,0.006926529157413717,0.006926529157413717,0.0,98.7591911764706,11.72749391727494,0.0645564545717053,False
14,0.009693688858533278,0.009693688858533278,0.0,98.62132352941177,9.927007299270073,0.05744034061048953,False
15,0.007423752507961848,0.007423752507961848,0.0,98.39154411764706,9.391727493917275,0.05832870830386742,False
16,0.006623614702702445,0.006623614702702445,0.0,98.4375,15.231143552311435,0.08538046895580102,False
17,0.006375041643075426,0.006375041643075426,0.0,98.16176470588235,17.469586374695865,0.19262369813193106,False
18,0.006274750692468575,0.006274750692468575,0.0,98.29963235294117,22.530413625304135,0.25368739723132033,False
19,0.005918532685267136,0.005918532685267136,0.0,98.62132352941177,48.175182481751825,0.29299926040621643,False
20,0.003896893488298006,0.003896893488298006,0.0,98.94301470588235,37.17761557177616,0.20409487983508745,False
21,0.003867866707664421,0.003867866707664421,0.0,99.17279411764706,26.472019464720194,0.13633865160555803,False
22,0.002209430020336774,0.002209430020336774,0.0,99.58639705882354,20.632603406326034,0.13666241353862943,False
23,0.0026288505276384324,0.0026288505276384324,0.0,99.31066176470588,18.83211678832117,0.13821353362192212,False
24,0.00203639696145033,0.00203639696145033,0.0,99.49448529411765,21.800486618004864,0.18088205128205126,False
25,0.0032052565631388195,0.0032052565631388195,0.0,99.44852941176471,34.5985401459854,0.24235426355774128,False
26,0.0047158135412781335,0.0047158135412781335,0.0,98.66727941176471,27.445255474452555,0.2525828360239595,False
27,0.0053965652871685215,0.0053965652871685215,0.0,98.48345588235294,29.635036496350367,0.23437591440366976,False
28,0.003500880956006072,0.003500880956006072,0.0,99.31066176470588,33.67396593673966,0.22087638606191784,False
29,0.0023287151031100247,0.0023287151031100247,0.0,99.08088235294117,38.1021897810219,0.21204964124388156,False
30,0.001449952460354646,0.001449952460354646,0.0,99.40257352941177,25.35279805352798,0.18571050458934213,False
31,0.0008440677100973998,0.0008440677100973998,0.0,99.6783088235294,28.613138686131386,0.18944068561610425,False
32,0.0013368435416743845,0.0013368435416743845,0.0,99.90808823529412,24.330900243309003,0.16999405771591,False
33,0.0011656955790813833,0.0011656955790813833,0.0,99.63235294117646,19.464720194647203,0.13144297604213764,False
34,0.0005937607610950876,0.0005937607610950876,0.0,99.77022058823529,17.51824817518248,0.12990134895510388,False
35,0.0005403104334939545,0.0005403104334939545,0.0,100.0,19.07542579075426,0.15974319496205874,False
36,0.000661312288898711,0.000661312288898711,0.0,99.77022058823529,21.021897810218977,0.14910906657123296,False
37,0.002263950473955928,0.002263950473955928,0.0,99.77022058823529,25.547445255474454,0.18569804738977555,False
38,0.004203311486943515,0.004203311486943515,0.0,98.71323529411765,15.669099756690997,0.06609368123032859,False
39,0.004389833930605057,0.004389833930605057,0.0,99.17279411764706,21.94647201946472,0.21157450274229936,False
40,0.0022753256750601236,0.0022753256750601236,0.0,98.85110294117646,26.131386861313867,0.10232761116985438,False
41,0.0013431750926161732,0.0013431750926161732,0.0,99.72426470588235,24.233576642335766,0.21769028356169118,False
42,0.0009793922890821705,0.0009793922890821705,0.0,99.63235294117646,36.058394160583944,0.22040717303403223,False
43,0.000973007469677695,0.000973007469677695,0.0,99.58639705882354,33.57664233576642,0.22243102134105944,False
44,0.0003106842655945323,0.0003106842655945323,0.0,99.86213235294117,46.180048661800484,0.2922680144030248,False
45,0.0008296793743926066,0.0008296793743926066,0.0,99.90808823529412,54.40389294403893,0.3170201143516243,False
46,0.0009077024549375946,0.0009077024549375946,0.0,99.63235294117646,50.75425790754258,0.29583514855188203,False
47,0.0005123746847911046,0.0005123746847911046,0.0,99.90808823529412,40.04866180048662,0.2713316212463319,False
48,0.0007734157112709534,0.0007734157112709534,0.0,99.86213235294117,36.39902676399027,0.2616918567140178,False
49,0.000998842377184166,0.000998842377184166,0.0,99.49448529411765,31.824817518248175,0.15571989330716937,False
50,0.0017086530184743048,0.0017086530184743048,0.0,99.72426470588235,21.41119221411192,0.14225949319956216,False
51,0.0005243325458650361,0.0005243325458650361,0.0,99.72426470588235,31.776155717761558,0.18685535553122676,False
52,0.00037368763568177685,0.00037368763568177685,0.0,99.77022058823529,30.559610705596107,0.22440013600089917,False
53,0.0008689019747875779,0.0008689019747875779,0.0,99.81617647058823,39.12408759124087,0.27602705642886677,False
54,0.0005363848923640463,0.0005363848923640463,0.0,99.86213235294117,45.839416058394164,0.3214133384608995,False
