epoch,train_loss,ce_loss,da_loss,source_acc,target_acc,target_f1,eta_1,entropy_loss,eta_2,sigma,align_loss,epoch_warmup
1,0.14374331136544546,0.14374331136544546,0.0,64.59219172787012,0.0,0.31169584360177904,,,,,,True
2,0.07820535947879155,0.07820535947879155,0.0,81.98685736374179,0.0,0.35225335079990083,,,,,,True
3,0.04670339751811255,0.04670339751811255,0.0,88.05566293003479,0.0,0.3507344283373339,,,,,,True
4,0.026818793621801194,0.026818793621801194,0.0,92.34634712021646,0.0,0.3344766102863699,,,,,,True
5,0.0121651700298701,0.0121651700298701,0.0,96.25048318515655,0.0,0.35589051257321974,,,,,,True
6,0.006362026712546746,0.006362026712546746,0.0,98.22187862388867,0.0,0.32088383716287366,,,,,,True
7,0.0036087235701935633,0.0036087235701935633,0.0,99.07228449942018,0.0,0.33190323319813186,,,,,,True
8,0.0018587706921001275,0.0018587706921001275,0.0,99.61345187475841,0.0,0.3215130727235381,,,,,,True
9,0.001105018852589031,0.001105018852589031,0.0,99.92269037495169,0.0,0.32551415647822984,,,,,,True
10,0.001069327040265004,0.001069327040265004,0.0,99.84538074990336,0.0,0.3265209132340939,,,,,,True
11,0.0015399493110765303,0.0015399493110765303,0.0,99.45883262466177,0.0,0.32007358374463507,,,,,,True
12,0.0008823501453402319,0.0008823501453402319,0.0,99.88403556242753,0.0,0.32590540978659066,,,,,,True
13,0.00038391233274957077,0.00038391233274957077,0.0,100.0,0.0,0.31012887662305855,,,,,,True
14,0.0002654346850855897,0.0002654346850855897,0.0,100.0,0.0,0.32012663839614736,,,,,,True
15,0.0002891793677311701,0.0002891793677311701,0.0,99.96134518747584,0.0,0.30901261943845076,,,,,,True
16,0.0006980053014038796,0.0006980053014038796,0.0,99.8067259373792,0.0,0.31504554325545403,,,,,,True
17,0.0004126528164349674,0.0004126528164349674,0.0,100.0,0.0,0.3068186341317282,,,,,,True
18,0.0004828219586800385,0.0004828219586800385,0.0,99.88403556242753,0.0,0.3099396407926172,,,,,,True
19,0.00028121089244017466,0.00028121089244017466,0.0,100.0,0.0,0.3203490828503783,,,,,,True
20,0.001061764213469966,0.001061764213469966,0.0,99.96134518747584,0.0,0.3242491813083041,,,,,,True
21,5.148403350044699,0.1460492269081228,0.02102111017002779,72.84007352941177,79.12408759124088,0.5633496261500888,0.10014763474464417,0.5322648374473348,0.998302698135376,0.01,0.27319423766697154,False
22,1.6410953945973341,0.07626741204191656,0.02033292896607343,79.96323529411765,75.03649635036497,0.5553903045410645,0.1002606675028801,0.7655307019458097,0.9966078400611877,0.01,0.2411254635628532,False
23,0.06739289751824211,0.04526760582538212,0.01577462869531968,89.61397058823529,77.51824817518248,0.5548211887360673,0.10034359991550446,0.8293106030015385,0.9949119687080383,0.01,0.19353643936269424,False
24,-1.0048818114925833,0.023952069966232076,0.013818386723013484,92.87683823529412,71.0948905109489,0.5685440863168241,0.10039103031158447,0.8722321215797874,0.9932169914245605,0.01,0.17340649752055898,False
25,-1.3507733875337768,0.0173589645556229,0.009745636407066794,94.76102941176471,77.08029197080292,0.5723835788296051,0.10041862726211548,0.780871636727277,0.9915211796760559,0.01,0.14777369271306431,False
26,-1.560973849366693,0.01342179549529272,0.006910671206081615,96.4154411764706,83.45498783454988,0.567924906634584,0.10043646395206451,0.687815199880039,0.989825963973999,0.01,0.12802841119906483,False
27,-1.9226172671598547,0.0062977505765636176,0.005392176263472613,97.84007352941177,82.82238442822384,0.5876579305264582,0.10044106096029282,0.6509571215685677,0.9881325960159302,0.01,0.11739288095165701,False
28,-1.9024675663779764,0.0068494113305967086,0.0051027150715098665,97.70220588235294,83.89294403892944,0.6058760283814371,0.10043708980083466,0.5829244291081148,0.9864420890808105,0.01,0.1094350113588221,False
29,-1.8880595205461277,0.007296804715331425,0.004336802398457247,98.80514705882354,82.7250608272506,0.5904644227863646,0.10043229907751083,0.5241050492314732,0.9847555160522461,0.01,0.10046786551966387,False
30,-2.1056075867484596,0.00308332936016514,0.003412786652060116,99.12683823529412,82.87104622871047,0.5861002148042177,0.1004217192530632,0.4648865759372711,0.9830719828605652,0.01,0.08989933702875585,False
31,-2.2015894651412964,0.001188539426520412,0.003664560177746941,99.44852941176471,82.53041362530413,0.6064851488970731,0.10040251910686493,0.4585417877225315,0.9813915491104126,0.01,0.08947095976156347,False
32,-2.171588378794053,0.00192651101079879,0.0028635508873883415,99.6783088235294,86.71532846715328,0.5947549258928325,0.10037846863269806,0.3488872857654796,0.9797141551971436,0.01,0.08525025011862025,False
33,-2.1581403858521404,0.0023043093593407642,0.0023800134658813477,99.6783088235294,86.95863746958638,0.6103796689922847,0.1003536656498909,0.32258021130281334,0.9780403971672058,0.01,0.07998078930027344,False
34,-2.0350538527264312,0.0048615377722051245,0.002517402172088623,99.49448529411765,85.20681265206812,0.5872366726209554,0.10033515095710754,0.3089412065113292,0.9763699173927307,0.01,0.07635385061011594,False
35,-2.2133954412796917,0.0013208242750860175,0.002774610238916734,99.44852941176471,82.62773722627738,0.5746335486330538,0.10031329095363617,0.33365534859545093,0.9747033715248108,0.01,0.0738047740476973,False
36,-2.24119831533993,0.0008599441128300147,0.0020956993103027344,99.77022058823529,84.5742092457421,0.5898569600785871,0.10028395801782608,0.293115455438109,0.9730401039123535,0.01,0.070208771921256,False
37,-2.215897097307093,0.0014379478782168863,0.001970824073342716,99.63235294117646,85.93673965936739,0.5863355304344539,0.10025282949209213,0.26747321381288414,0.9713795185089111,0.01,0.06844453557449229,False
38,-2.2501242441289566,0.0008530041290856281,0.0016567251261542825,99.81617647058823,84.08759124087591,0.5872920333323184,0.10022063553333282,0.2695970596636043,0.9697219133377075,0.01,0.06241335434948697,False
39,-2.1904890326892628,0.002124808958128329,0.0015450610834009508,99.86213235294117,84.76885644768856,0.6068733596894725,0.1001848503947258,0.24969703923253453,0.968067467212677,0.01,0.05990213002352154,False
40,-2.20706314199111,0.0018345807557660224,0.0017940682523390826,99.90808823529412,85.88807785888078,0.5672670258930633,0.10015521198511124,0.2254413252367693,0.9664163589477539,0.01,0.06034810862996999,False
41,-2.1913769315270817,0.0021551443793107277,0.0021274615736568674,99.72426470588235,85.06082725060827,0.5746157033876097,0.10012161731719971,0.21524541518267462,0.964769721031189,0.01,0.06369718536734581,False
42,-2.2297638794955086,0.001470665362830914,0.001698437859030331,99.6783088235294,83.74695863746959,0.5969835002639661,0.10008801519870758,0.21633335246759303,0.9631261229515076,0.01,0.059581258936839944,False
43,-2.2869688202353085,0.0003874560407118278,0.0017226618878981646,99.81617647058823,85.01216545012166,0.5939347745338385,0.10005048662424088,0.21704280727049885,0.9614854454994202,0.01,0.05731503533966401,False
44,-2.2258826353970695,0.001669809194521911,0.001672047026017133,99.86213235294117,84.96350364963503,0.6006516356368773,0.10000967979431152,0.20081464157384984,0.9598473310470581,0.01,0.05616819310714217,False
45,-2.283475532251246,0.0005382841591734392,0.002057292882133933,99.81617647058823,86.61800486618004,0.5925877988889962,0.0999702736735344,0.18628674131982467,0.9582130312919617,0.01,0.0584103397148497,False
46,-2.2935770189060882,0.00045337043558688224,0.0011977693613837747,99.81617647058823,84.42822384428224,0.5860285290689683,0.09992623329162598,0.21002048779936397,0.9565810561180115,0.01,0.050887252697173285,False
47,-2.2625435099882236,0.001103888142565398,0.0014833807945251465,99.90808823529412,84.18491484184915,0.5924790810940103,0.09988094866275787,0.18941812480197234,0.9549516439437866,0.01,0.05252279165913077,False
48,-2.2949953499962303,0.0005135813802927955,0.0016247279503766227,99.77022058823529,84.08759124087591,0.5583203305587419,0.09983690828084946,0.20315840402070215,0.9533257484436035,0.01,0.05032957586295465,False
49,-2.2958046127768124,0.0005044363938395691,0.0018975033479578355,99.77022058823529,81.16788321167883,0.5611657053695205,0.09979012608528137,0.20280076804406502,0.9517026543617249,0.01,0.05361541316789739,False
50,-2.292528888758491,0.0006671224481953472,0.001647325123057646,99.90808823529412,81.89781021897811,0.5905070842136476,0.0997420996427536,0.1976439479519339,0.9500831961631775,0.01,0.04860749512034304,False
51,-2.2704936195822323,0.0011666769842122449,0.0013675935128155876,99.81617647058823,83.74695863746959,0.5722133360914984,0.09969314932823181,0.181757151203997,0.9484658241271973,0.01,0.04766096021322643,False
52,-2.3045077464159798,0.0005075925957151091,0.001686394214630127,99.6783088235294,81.31386861313868,0.554264897012743,0.09964524209499359,0.21645557617439942,0.9468514919281006,0.01,0.0485094976337517,False
53,-2.3064387405619904,0.0005679379417094477,0.00129168524461634,99.81617647058823,83.64963503649635,0.5947924743419581,0.09959493577480316,0.1792284592109568,0.9452400803565979,0.01,0.044847331283723604,False
54,-2.2943304356406715,0.000823889763737765,0.0018414784880245432,99.86213235294117,85.59610705596107,0.6038277974091719,0.09954290091991425,0.15238088237888672,0.9436322450637817,0.01,0.048058470820679385,False
55,-2.304318442064173,0.0006846462580035543,0.0015101257492514217,99.81617647058823,84.18491484184915,0.6039116629380542,0.09949145466089249,0.18117625573102167,0.9420272707939148,0.01,0.0457231994060909,False
56,-2.249806004412034,0.0018558040322151261,0.0011008767520680146,99.63235294117646,84.18491484184915,0.5957308204348299,0.09944339096546173,0.1599617714391035,0.940424919128418,0.01,0.042045236948658436,False
57,-2.2875993181677425,0.0011422648327585622,0.0011699725599849924,99.86213235294117,85.01216545012166,0.5903221330205355,0.09939133375883102,0.1559154987335205,0.9388251900672913,0.01,0.042897100615150785,False
58,-2.2919546435861027,0.0010720391184323114,0.0014136258293600643,99.72426470588235,83.45498783454988,0.5830976686026099,0.09933950006961823,0.16733626758351045,0.937228262424469,0.01,0.04490025648299385,False
59,-2.3359287907095516,0.0002531417231921296,0.001665203010334688,99.86213235294117,82.4330900243309,0.5904675499670157,0.09928480535745621,0.18374124607619116,0.9356343150138855,0.01,0.04340820803361781,False
60,-2.342237949371338,0.0002233273038360922,0.0011359102585736442,99.90808823529412,83.30900243309003,0.5905310751957521,0.09922593086957932,0.169572275789345,0.9340430498123169,0.01,0.039511318373329496,False
61,-2.3458423334009506,0.00022248418345578315,0.001012728494756362,99.90808823529412,83.30900243309003,0.5788253709679853,0.09916561841964722,0.15891342128024383,0.9324542880058289,0.01,0.037536652101313364,False
62,-2.3490837321561924,0.00020454345739755596,0.0010943973765653722,99.95404411764706,83.84428223844282,0.5782586960144324,0.09910383820533752,0.14647789474795847,0.9308682680130005,0.01,0.03788482682669864,False
63,-2.3556275648229263,0.00011859999254096799,0.0011694641674266143,100.0,82.67639902676399,0.5798838528470306,0.09904056042432785,0.15227605051854076,0.9292851090431213,0.01,0.03786308658035362,False
64,-2.325144283911761,0.0007535497379114317,0.0010831741725697236,99.86213235294117,83.45498783454988,0.5913711747297961,0.09897687286138535,0.14632757928441553,0.9277045726776123,0.01,0.039027951767339426,False
65,-2.327093510066762,0.0007922145619779578,0.0009364976602442124,99.72426470588235,81.94647201946472,0.5883240922852728,0.098915696144104,0.14883076706353357,0.9261268377304077,0.01,0.03580707070582053,False
66,-2.3666977040907917,4.623025701194445e-05,0.0014062909518971162,100.0,82.38442822384428,0.5966041877832687,0.09885390847921371,0.1467327313388095,0.9245524406433105,0.01,0.03700089925790534,False
67,-2.3585535918965057,0.00025425172030763324,0.0012949985616347369,99.86213235294117,84.37956204379562,0.6005510188859209,0.09878749400377274,0.12739120993544073,0.9229810237884521,0.01,0.03757595303742325,False
68,-2.3662800788879395,0.00017763259967964855,0.0010917221798616298,99.95404411764706,84.28223844282239,0.5994697893232362,0.0987207219004631,0.13202088063254075,0.9214116930961609,0.01,0.034745869610239476,False
69,-2.316009851062999,0.0011464885531575634,0.0017174166791579302,99.72426470588235,84.23357664233576,0.5795128850466095,0.09865399450063705,0.11397071577170316,0.9198455810546875,0.01,0.04047366253593389,False
70,-2.3453937348197487,0.0006571403822256209,0.0011973871904260973,99.81617647058823,82.33576642335767,0.5895171386572781,0.09859064966440201,0.12958839623367086,0.9182826280593872,0.01,0.036575629211523956,False
71,-2.3767401751349952,0.0001145866613382275,0.0009022845941431382,99.95404411764706,82.04379562043796,0.5935953659464346,0.09852440655231476,0.1389128285295823,0.9167218208312988,0.01,0.03436655430671047,False
72,-2.320961033596712,0.0012601151471271271,0.0010200283106635598,99.86213235294117,83.5036496350365,0.598200432045184,0.09845494478940964,0.12386944977676168,0.9151634573936462,0.01,0.0329933799803257,False
73,-2.358597145361059,0.0005527604021688818,0.0010213150697595934,99.72426470588235,83.21167883211679,0.591024043675028,0.09839046746492386,0.11945273639524684,0.9136080741882324,0.01,0.03553041366531568,False
74,-2.3250088060603424,0.0012798443521814186,0.0010704853955437155,99.77022058823529,83.11435523114355,0.6077068905862932,0.09832295030355453,0.12346423066714231,0.9120557904243469,0.01,0.031963561058920974,False
75,-2.3542122209773346,0.0007164404535829175,0.0012843819225535674,99.77022058823529,84.37956204379562,0.6089256400484885,0.09825751930475235,0.12298184852389728,0.9105063080787659,0.01,0.036225317922585154,False
76,-2.3537298370810116,0.00077390620426473,0.0014900670332067152,99.77022058823529,81.45985401459853,0.5965455693682881,0.09818904846906662,0.13805756674093358,0.9089596271514893,0.01,0.03504578298067346,False
77,-2.3795778891619515,0.0003334599797359688,0.0016499372089610381,99.90808823529412,82.48175182481752,0.595546295567583,0.09811908006668091,0.13950029015541077,0.9074165225028992,0.01,0.03352930966545554,False
78,-2.3702897534650913,0.0005835697943573049,0.0010180438266080968,99.90808823529412,84.52554744525547,0.615468186007932,0.09804569184780121,0.11187208400053136,0.9058749079704285,0.01,0.03277291061685366,False
79,-2.369672831367044,0.0006200607422633365,0.0012307096930111155,99.90808823529412,84.72019464720195,0.6297102223502742,0.09797222912311554,0.12139986236305798,0.904336154460907,0.01,0.034354243756217116,False
80,-2.347185555626364,0.0011092779463310494,0.0012368524775785558,99.86213235294117,84.72019464720195,0.608722761346523,0.09789953380823135,0.11915789500755422,0.9028001427650452,0.01,0.03316801381023491,False
81,-2.3897424866171444,0.00034141764240971765,0.0013807100408217486,99.77022058823529,84.23357664233576,0.5977835259005794,0.09782911837100983,0.11692901700735092,0.9012671113014221,0.01,0.03287788140861427,False
82,-2.3310905274222877,0.0014906574713088904,0.0015573536648469813,99.77022058823529,83.40632603406326,0.5916505278973144,0.09775516390800476,0.11792049841845736,0.8997368216514587,0.01,0.0345273721305763,False
83,-2.392083097906674,0.00040004344581281173,0.0011691591318915872,99.77022058823529,83.21167883211679,0.6052660869745873,0.09768391400575638,0.1174177534001715,0.8982092142105103,0.01,0.03192724857260199,False
84,-2.38491683847764,0.0005892142685030087,0.000978701254900764,99.81617647058823,83.94160583941606,0.6194327894327895,0.09760832041501999,0.11569655357914813,0.8966836929321289,0.01,0.03158135273877312,False
85,-2.293682526139652,0.002326933135771683,0.0016568162861992331,99.5404411764706,83.74695863746959,0.6173550186921543,0.09753359854221344,0.12896464195321589,0.8951611518859863,0.01,0.034882196389576965,False
